Galaxy Dance Festival,AC-A Amateur Novice International Latin (C/S/R),Latin,5
Galaxy Dance Festival,AC-A Amateur Open American Smooth (W/T/F/VW),Smooth,20
Galaxy Dance Festival,AC-A Amateur Open International Ballroom (W/T/VW/F/Q),Standard,20
Galaxy Dance Festival,AC-A Amateur Open International Latin (C/S/R/PD/J),Latin,20
Galaxy Dance Festival,AC-A Amateur Pre-Champ International Latin (C/S/R/J),Latin,15
Galaxy Dance Festival,AC-C Amateur Novice American Smooth (W/T/F),Smooth,5
Galaxy Dance Festival,AC-C Amateur Novice International Ballroom (W/F/Q),Standard,5
Galaxy Dance Festival,AC-C Amateur Open International Ballroom (W/T/VW/F/Q),Standard,20
Galaxy Dance Festival,AC-C Amateur Pre-Champ International Ballroom (W/T/F/Q),Standard,15
Galaxy Dance Festival,AC-JR Amateur Novice International Ballroom (W/F/Q),Standard,5
Galaxy Dance Festival,AC-JR Amateur Novice International Latin (C/S/R),Latin,5
Galaxy Dance Festival,AC-JR Amateur Open International Ballroom (W/T/VW/F/Q),Standard,20
Galaxy Dance Festival,AC-JR Amateur Open International Latin (C/S/R/PD/J),Latin,20
Galaxy Dance Festival,AC-JR Amateur Pre-Champ International Ballroom (W/T/F/Q),Standard,15
Galaxy Dance Festival,AC-JR Amateur Pre-Champ International Latin (C/S/R/J),Latin,15
Galaxy Dance Festival,AC-PT1 Amateur Novice International Latin (C/S/R),Latin,5
Galaxy Dance Festival,AC-PT1 Amateur Pre-Champ International Latin (C/S/R/J),Latin,15
Galaxy Dance Festival,AC-PT2 Amateur Open International Ballroom (W/T/VW/F/Q),Standard,20
Galaxy Dance Festival,AC-PT2 Amateur Open International Latin (C/S/R/PD/J),Latin,20
Galaxy Dance Festival,AC-PT2 Amateur Pre-Champ International Ballroom (W/T/F/Q),Standard,15
Galaxy Dance Festival,AC-PT2 Amateur Pre-Champ International Latin (C/S/R/J),Latin,15
Galaxy Dance Festival,AC-Y Amateur Novice American Smooth (W/T/F),Smooth,5
Galaxy Dance Festival,AC-Y Amateur Novice International Latin (C/S/R),Latin,5
Galaxy Dance Festival,AC-Y Amateur Open International Latin (C/S/R/PD/J),Latin,20
Galaxy Dance Festival,AC-Y Amateur under 21 International Latin (C/S/R/PD/J),Latin,15
Galaxy Dance Festival,AC-YTH Amateur under 21 International Latin (C/S/R/PD/J),Latin,15
Galaxy Dance Festival,G-A Pro/Am American Rhythm DanceSport Series (C/R/SW/B/M),Rhythm,15
Galaxy Dance Festival,G-A Pro/Am American Smooth DanceSport Series (W/T/F/VW),Smooth,15
Galaxy Dance Festival,G-A Pro/Am Closed Bronze American Rhythm Championship  (C/R/SW),Rhythm,10
Galaxy Dance Festival,G-A Pro/Am Closed Bronze American Rhythm Scholarship Best of the Best Qualifier  (C/R/SW),Rhythm,15
Galaxy Dance Festival,G-A Pro/Am Closed Bronze American Smooth Championship (W/T/F),Smooth,10
Galaxy Dance Festival,G-A Pro/Am Closed Bronze American Smooth Scholarship Best of the Best Qualifier  (W/T/F),Smooth,15
Galaxy Dance Festival,G-A Pro/Am Closed Bronze International Latin (C/S/R),Latin,10
Galaxy Dance Festival,G-A Pro/Am Closed Bronze International Latin Scholarship Best of the Best Qualifier (C/S/R),Latin,15
Galaxy Dance Festival,G-A Pro/Am Closed Silver American Rhythm Championship (C/R/SW/B/M),Rhythm,15
Galaxy Dance Festival,G-A Pro/Am Closed Silver American Smooth Championship (W/T/F/VW),Smooth,15
Galaxy Dance Festival,G-A Pro/Am Open American Rhythm Championship (C/R/SW/B/M),Rhythm,20
Galaxy Dance Festival,G-A Pro/Am Open American Rhythm Scholarship (C/R/SW/B/M),Rhythm,25
Galaxy Dance Festival,G-A Pro/Am Open American Smooth Championship (W/T/F/VW),Smooth,20
Galaxy Dance Festival,G-A Pro/Am Open American Smooth Scholarship (W/T/F/VW),Smooth,25
Galaxy Dance Festival,G-A Pro/Am Rising Star American Rhythm Championship (C/R/SW/B/M),Rhythm,20
Galaxy Dance Festival,G-A Pro/Am Rising Star American Smooth Championship (W/T/F/VW),Smooth,20
Galaxy Dance Festival,G-B Pro/Am American Smooth DanceSport Series (W/T/F/VW),Smooth,15
Galaxy Dance Festival,G-B Pro/Am Closed Gold International Ballroom Scholarship  Best of the Best Qualifier (W/T/VW/F/Q),Standard,25
Galaxy Dance Festival,G-B Pro/Am Closed Silver American Rhythm Scholarship Best of the Best Qualifier  (C/R/SW/B),Rhythm,20
Galaxy Dance Festival,G-B Pro/Am Closed Silver American Smooth Scholarship Best of the Best Qualifier  (W/T/F/VW),Smooth,20
Galaxy Dance Festival,G-B Pro/Am Open American Rhythm Championship (C/R/SW/B/M),Rhythm,20
Galaxy Dance Festival,G-B Pro/Am Open American Rhythm Scholarship (C/R/SW/B/M),Rhythm,25
Galaxy Dance Festival,G-B Pro/Am Open American Smooth Scholarship (W/T/F/VW),Smooth,25
Galaxy Dance Festival,G-C Pro/Am American Rhythm DanceSport Series (C/R/SW/B/M),Rhythm,15
Galaxy Dance Festival,G-C Pro/Am American Smooth DanceSport Series (W/T/F/VW),Smooth,15
Galaxy Dance Festival,G-C Pro/Am Closed Bronze American Rhythm Championship  (C/R/SW),Rhythm,10
Galaxy Dance Festival,G-C Pro/Am Closed Bronze American Rhythm Scholarship Best of the Best Qualifier  (C/R/SW),Rhythm,15
Galaxy Dance Festival,G-C Pro/Am Closed Bronze American Smooth Championship (W/T/F),Smooth,10
Galaxy Dance Festival,G-C Pro/Am Closed Silver American Rhythm Championship (C/R/SW/B/M),Rhythm,15
Galaxy Dance Festival,G-C Pro/Am Closed Silver American Rhythm Scholarship Best of the Best Qualifier  (C/R/SW/B),Rhythm,20
Galaxy Dance Festival,G-C Pro/Am Closed Silver American Smooth Championship (W/T/F/VW),Smooth,15
Galaxy Dance Festival,G-C Pro/Am Open American Smooth Championship (W/T/F/VW),Smooth,20
Galaxy Dance Festival,G-C Pro/Am Open American Smooth Scholarship (W/T/F/VW),Smooth,25
Galaxy Dance Festival,G-C Pro/Am Open International Latin (C/S/R/PD/J),Latin,20
Galaxy Dance Festival,G-C Pro/Am Rising Star American Smooth Championship (W/T/F/VW),Smooth,20
Galaxy Dance Festival,G-C Pro/Am Rising Star International Ballroom (W/T/VW/F/Q),Standard,15
Galaxy Dance Festival,G-D Pro/Am Closed Silver American Smooth Championship (W/T/F/VW),Smooth,15
Galaxy Dance Festival,G-GC Pro/Am Closed Bronze American Rhythm Championship  (C/R/SW),Rhythm,10
Galaxy Dance Festival,G-GC Pro/Am Closed Bronze American Smooth Championship (W/T/F),Smooth,10
Galaxy Dance Festival,G-GD Pro/Am Closed Silver American Smooth Championship (W/T/F/VW),Smooth,15
Galaxy Dance Festival,G-S Pro/Am Closed Bronze American Rhythm Scholarship Best of the Best Qualifier  (C/R/SW),Rhythm,15
Galaxy Dance Festival,G-S Pro/Am Closed Bronze American Smooth Scholarship Best of the Best Qualifier  (W/T/F),Smooth,15
Galaxy Dance Festival,G-S Pro/Am Open American Rhythm Scholarship (C/R/SW/B/M),Rhythm,25
Galaxy Dance Festival,G-S Pro/Am Open American Smooth Scholarship (W/T/F/VW),Smooth,25
Galaxy Dance Festival,G-S Pro/Am Open International Latin Scholarship (C/S/R/PD/J),Latin,25
Galaxy Dance Festival,G-S Pro/Am Senior American Rhythm Championship  (C/R/SW),Rhythm,20
Galaxy Dance Festival,G-S Pro/Am Senior American Smooth Championship (W/T/F),Smooth,20
Galaxy Dance Festival,L-A Pro/Am American Rhythm DanceSport Series (C/R/SW/B/M),Rhythm,15
Galaxy Dance Festival,L-A Pro/Am American Smooth DanceSport Series (W/T/F/VW),Smooth,15
Galaxy Dance Festival,L-A Pro/Am Closed Bronze International Latin (C/S/R),Latin,10
Galaxy Dance Festival,L-A Pro/Am Closed Bronze International Latin Scholarship Best of the Best Qualifier (C/S/R),Latin,15
Galaxy Dance Festival,L-A Pro/Am Closed Silver American Rhythm Championship (C/R/SW/B/M),Rhythm,15
Galaxy Dance Festival,L-A Pro/Am Closed Silver American Rhythm Scholarship Best of the Best Qualifier  (C/R/SW/B),Rhythm,20
Galaxy Dance Festival,L-A Pro/Am Closed Silver American Smooth Championship (W/T/F/VW),Smooth,15
Galaxy Dance Festival,L-A Pro/Am Closed Silver American Smooth Scholarship Best of the Best Qualifier  (W/T/F/VW),Smooth,20
Galaxy Dance Festival,L-A Pro/Am Closed Silver International Ballroom Scholarship  Best of the Best Qualifier (W/T/F/Q),Standard,20
Galaxy Dance Festival,L-A Pro/Am Closed Silver International Latin (C/S/R/J),Latin,15
Galaxy Dance Festival,L-A Pro/Am Closed Silver International Latin Scholarship Best of the Best Qualifier (C/S/R/J),Latin,20
Galaxy Dance Festival,L-A Pro/Am Open American Rhythm Championship (C/R/SW/B/M),Rhythm,20
Galaxy Dance Festival,L-A Pro/Am Open American Rhythm Scholarship (C/R/SW/B/M),Rhythm,25
Galaxy Dance Festival,L-A Pro/Am Open American Smooth Championship (W/T/F/VW),Smooth,20
Galaxy Dance Festival,L-A Pro/Am Open American Smooth Scholarship (W/T/F/VW),Smooth,25
Galaxy Dance Festival,L-A Pro/Am Open International Ballroom Scholarship (W/T/VW/F/Q),Standard,25
Galaxy Dance Festival,L-A Pro/Am Open International Latin (C/S/R/PD/J),Latin,20
Galaxy Dance Festival,L-A Pro/Am Open International Latin Scholarship (C/S/R/PD/J),Latin,25
Galaxy Dance Festival,L-A Pro/Am Rising Star American Rhythm Championship (C/R/SW/B/M),Rhythm,20
