Go Wild Dancesport,AC-A Closed Bronze Ballroom 2-Dance (F/Q),Standard,10
Go Wild Dancesport,AC-A Closed Silver Smooth 4-Dance (W/T/F/VW),Smooth,15
Go Wild Dancesport,AC-J2 Open Gold Ballroom 5-Dance (W/T/VW/F/Q),Standard,25
Go Wild Dancesport,AC-J2 Open Gold Latin 5-Dance (C/S/R/PD/J),Latin,25
Go Wild Dancesport,AC-J2 Open Silver Ballroom 5-Dance (W/T/VW/F/Q),Standard,20
Go Wild Dancesport,AC-JR Closed Gold Latin 4-Dance (C/S/R/J),Latin,20
Go Wild Dancesport,AC-JR Closed Newcomer Rhythm 2-Dance (C/R),Rhythm,5
Go Wild Dancesport,AC-JR Closed Newcomer Rhythm 3-Dance (C/R/SW),Rhythm,5
Go Wild Dancesport,AC-JR Closed Newcomer Smooth 2-Dance (W/T),Smooth,5
Go Wild Dancesport,AC-JR Closed Newcomer Smooth 3-Dance (W/T/F),Smooth,5
Go Wild Dancesport,AC-JR Closed Silver Ballroom 4-Dance (W/T/F/Q),Standard,15
Go Wild Dancesport,AC-JR Open Ballroom 5-Dance (W/T/VW/F/Q),Standard,20
Go Wild Dancesport,AC-JR Open Latin 5-Dance (C/S/R/PD/J),Latin,20
Go Wild Dancesport,AC-MJR Closed Bronze Latin 2-Dance (C/R),Latin,10
Go Wild Dancesport,AC-MJR Closed Bronze Latin 2-Dance (S/J),Latin,10
Go Wild Dancesport,AC-MJR Closed Bronze Latin 3-Dance (C/R/J),Latin,10
Go Wild Dancesport,AC-MJR Closed Bronze Latin 4-Dance (C/S/R/J),Latin,10
Go Wild Dancesport,AC-PT1 Closed Bronze Ballroom 4-Dance (W/T/F/Q),Standard,10
Go Wild Dancesport,AC-PT1 Closed Bronze Latin 4-Dance (C/S/R/J),Latin,10
Go Wild Dancesport,AC-SR1 Closed Silver Rhythm 3-Dance (C/R/SW),Rhythm,15
Go Wild Dancesport,AC-SR1 Closed Silver Smooth 4-Dance (W/T/F/VW),Smooth,15
Go Wild Dancesport,G-B Closed Bronze Rhythm 3-Dance (C/R/SW),Rhythm,10
Go Wild Dancesport,G-B Closed Bronze Rhythm Scholarship (C/R/SW),Rhythm,15
Go Wild Dancesport,G-B Closed Bronze Smooth 3-Dance (W/T/F),Smooth,10
Go Wild Dancesport,G-B Closed Bronze Smooth Scholarship (W/T/F),Smooth,15
Go Wild Dancesport,G-C Closed Bronze Rhythm 3-Dance (C/R/SW),Rhythm,10
Go Wild Dancesport,G-C Closed Bronze Rhythm Scholarship (C/R/SW),Rhythm,15
Go Wild Dancesport,G-C Closed Bronze Smooth 4-Dance (W/T/F/VW),Smooth,10
Go Wild Dancesport,G-C Closed Bronze Smooth Scholarship (W/T/F),Smooth,15
Go Wild Dancesport,G-C Closed Silver Ballroom Scholarship (W/T/Q),Standard,20
Go Wild Dancesport,G-C Closed Silver Smooth Scholarship (W/T/F),Smooth,20
Go Wild Dancesport,G-C Open Smooth Scholarship (W/T/F/VW),Smooth,25
Go Wild Dancesport,G-JR Closed Bronze Rhythm 3-Dance (C/R/SW),Rhythm,10
Go Wild Dancesport,G-JR Closed Bronze Smooth 3-Dance (W/T/F),Smooth,10
Go Wild Dancesport,G-SR1 Closed Bronze Latin 2-Dance (C/R),Latin,10
Go Wild Dancesport,G-SR1 Closed Bronze Rhythm 4-Dance (C/R/SW/M),Rhythm,10
Go Wild Dancesport,G-SR1 Closed Bronze Smooth 3-Dance (W/T/F),Smooth,10
Go Wild Dancesport,G-SR1 Closed Silver Ballroom 3-Dance (W/T/Q),Standard,15
Go Wild Dancesport,G-SR1 Closed Silver Ballroom 4-Dance (W/T/F/Q),Standard,15
Go Wild Dancesport,G-SR1 Closed Silver Smooth 3-Dance (W/T/F),Smooth,15
Go Wild Dancesport,G-SR1 Nightclub 3-Dance (Hus/Sal/WCS),Nightclub,15
Go Wild Dancesport,G-SR1 Open Smooth 4-Dance (W/T/F/VW),Smooth,20
Go Wild Dancesport,L-A Closed Bronze Ballroom 2-Dance (W/T),Standard,10
Go Wild Dancesport,L-A Closed Bronze Ballroom 3-Dance (W/T/Q),Standard,10
Go Wild Dancesport,L-A Closed Bronze BallroomScholarship (W/T/Q),Standard,15
Go Wild Dancesport,L-A Closed Bronze Rhythm Scholarship (C/R/SW),Rhythm,15
