Comp Name:Grand National Dancesport Championships
Dancers
Alekseev, Aleksei:203
Alico, Junis:229
Alisauskas, Lukas:560
Alisauskas, Simona:561
Altman, Laura:166
Alvarez, Betsy:211
Alvarez, Johnathan:208
Amadis, Germine:631
Amoroso, Sofia:439
Angarola, Dylan:407
Anthony, Jen:623
Arca, Lily:423
Arcolin, Massimo:499
Argaet, Sriani:291
Avagliano, Valentina:338
Avanzini, Rafael:395
Bager, Troels:201
Barabash, Volodymyr:408
Barata, Mitchell:597
Barilo, Dmitri:138
Barrett, Margaret:359
Barsukov, Sergey:263
Bartkus, Aurimas:195
Bartlett, Roberta:232
Batkilin, Aiden:593
Bauer, Michael:613
Bauer, Theresa:612
Bell, Deena:212
Belov, Anton:483
Belova, Anfisa:484
Bembry, Torie:632
Berkovets, Sofiia:605
Besarab, Yuliya:80
Bilopukhov, Mykhailo:501
Binder, Susanne:444
Birman, Ivana:601
Blair, Esperanza:611
Blythe, Stephen:165
Boe, Sarah:382
Bogdanov, Olga:535
Bogdanova, Anna:587
Bogdanova, Toma:306
Bohac, Marylyn:629
Bohr, Sarah:528
Bokova, Alexandra:117
Bourgeois, Linda:402
Bourquin, Remy:411
Bowling, Marcia:318
Brandt, Chris:398
Brankaert, Maarten:193
Bray, Patricia:469
Brinkmeyer, Maxahna:415
Brivks, Edgars:282
Brodner, Yulia:615
Bryan, Natasha:144
Bryne, Jarrya:292
Bueno, Irene:503
Bularga, Alexandra Anna:600
Burchianti, Bella:448
Burns, Kathleen:149
Burshtyko, Anastasiia:404
Bussey, Payton:383
Cabanas, Lourdes:214
Caluser, Marius:120
Camejo, Jamie:419
Camm, Linda:159
Caro, Dr. Marjorie:608
Castro, D'Angelo:424
Castro, Ruby:425
Castro, Shirley:153
Champagne, Bianca:250
Chandra, Prasanta:179
Cherdantsau, Pavel:527
Chernositov, Alexander:626
Cherstvova, Filipa:567
Chibukhchyan, Tatevik:355
Christopher, Thomas:206
Clemens, Keith:123
Cocchi, Riccardo:57
Coco, Fabio:514
Conlon, Paula:413
Copeland, Natasha:135
Correli, Nomi:635
Corriveau, Vincent:249
Cosby, Lisa:435
Cosby, Pen:534
Cosby, Shelia:133
Crudele, Betsy:377
Danailov, Plamen:81
Dang, Maya:73
Danilova, Anastasiya:301
Davidson, Jenn:621
Davies, Jake:161
Davis, Betty:221
Davis, Betty:271
de Maximy, Irene:139
Denis, Tamisha:150
Derimov, Igor:168
Detkina, Galina:285
Di Carlo, Letizia:488
Di Lorenzo, Paolo:308
Doctolero, Benilda:551
Don, Adele:340
Don, Jang:339
Doneva, Roselina:431
Donovan, Alarna:293
Dorta, Abella:416
Doshoris, Marika:311
Doubrav, Lukas:189
Doubravova, Daniela:190
Downs, Christine:545
Drobny, Mario:487
Dumanova, Elena:316
Elcoro, Evgeniia:410
Elizier, Britton:529
Elliott, Jennifer:433
Erlbeck, Peter:86
Esaulova, Daria:305
Fabrizi, Alice:353
Falkenberg, Daniel:428
Farahani, Melina:565
Farahani, Melody:564
Farrell, Mary:309
Favilla, Manuel:62
Fedotova, Alisa:575
Fernandez, Darren:145
Fernandez, Roberto:209
Ferreira, Paula:213
Firlus, Tracey:143
Fisher, JoAnne:468
Flack, Sue:436
Fletcher, Harry:590
Fox, Nora:82
Frazier, Thomas:536
Frecautanu, Dorin:191
Friedrich, Sandie:320
Frighetto, Manuel:77
Funder, Kirsten:140
Fundo, Enxhi:427
Fung, Ada:633
Gadirov, Tamerlan:391
Gandarilla, Giselle:417
Garrett, Helen:578
Generalov, Denis:172
Gill, Linda:286
Giraldi, Simone:352
Givency, Sasha:563
Glass, Sarah:182
Golubev, Valerii:542
Golubeva, Margarita:543
Golubovic, Stefan:106
Gorsuch, Kim:174
Greblikas, Sarunas:331
Grishanina, Arina:627
Grob, Ashley Marie:228
Gunnarsson, Gunnar:310
Gusev, Sergey:118
Harada, Ayaka:103
Harington, Nicole:515
Harris, Mary:548
Heffelfinger, Melinda:272
Hemera, Michael:312
Hinz, Martha:288
Hoag, Debra:630
Hodges, Anna:539
Homm, Rudeger:591
Hoodyakova, Tonya:373
Horeva, Viktorija:332
Huber, Tom:277
Huertas, Jessalyn:210
Hutchens, Patsy:146
Ilo, Kathleen:65
Incatasciato, Peppe:443
Isaeva, Marina:113
Italyankin, Roman:116
James, Judy:273
Janey, Natasha:409
Jeliazkova, Ina:202
Jenkins, Dylan:485
Jenkins, Nora:486
Jensen, Shane:343
Jensen, Shannon:344
Jimenez, Christian:281
Jiminez, Marc:197
Jones, Rex:287
Joson, Austin:634
Jucht, Sonia:307
Jurga, Aleksandra:511
Juvet, Daniel:110
Kaiser, Adrian:403
Kalaydzhyan, Eva:571
Kalaydzhyan, Kristina:574
Kalinina, Alyona:162
Kam, Jennifer:163
Kanchukova, Jenya:295
Kapitannikov, Maksim:522
Kaplii, Anna:262
Karaman, Damir:217
Karaman, Hana:218
Karaulov, Alexey:127
Karaulov, Vlada:128
Kazlauskas, Jonas:64
Kazlouski, Andrei:367
Kennedy, Nichelle:325
Khotoveli, Leila:594
Kim, Melissa:234
King, Billy:489
Kiselev, Andrey:177
Kiseleva, Anastasia:178
Kiwon, Jeong:326
Koenigs, Ana:297
Komar, Gail:506
Komar, Serhiy:505
Koogle, Scott:381
Kosarev, Vladimir:136
Kozun, Artur:544
Kravetz, Bonnie:446
Kreuzer, Claudia:87
Kryklyvyy, Slavik:512
Kudashev, Ivan:257
Kushnir, Alona:585
Kuzmenko, Andrea:252
Kuzmenko, Dmitriy:251
Kuzmin, Pavel:385
Kysel, Edita:109
Lamb, Fiona:122
Lapovok, Daniela:598
Lareto, Milagros:346
Larson, Sienna Mae:362
Laug, Kathy:319
LaVecchia, Diane:379
Lebedew, Oxana:99
LeCoq, Sasha:130
Lee, Bella:276
Lee, Elfrida:186
Lekht, Alice:169
Lewicki, Kris:227
Lin Lim, Hui:323
Lin, Marcus:275
Lin, Wendy:171
Lin, Ya Chun:188
Litvinov, Vladimir:314
Liu, Chia Ming:187
Liu, Liang:356
Livshiz, Tal:72
Loewe, Morten:430
Loewe, Thomas Jay:108
Loftspring, Bonnie:577
Lopez, Luis:422
Lototskyy, Sarah:405
Lowery, Lisa:266
