Comp Name:atlopen19
Dancers
Abraham, Sheila:3938
Adamczyk, Darcy:2940
Alico, Junis:3994
Anatoliy, Alosha:1772
Archer, Shalene:2647
Asgarova, Gulnara:3982
Avanzini, Rafael:1922
Bahrambeigian, Kathy:3116
Baker, Brian:4039
Balasanyan, Hayk:3658
Ballard, Susan:3905
Barakat, Samantha:4004
Barkey, Shannon:3926
Barr, Marty:4041
Barranco, Brandon:1798
Bartashevich, Genya:1914
Batters, Christjohn:1744
Bauer, Kaline:3790
Baumgartner, Katt:2891
Belinfante, Lita:3883
Bennett, Kemar:3890
Bennington, Andrea:4032
Bernard, Mallory:3904
Best, Diana:3237
Betts, Stephanie:2015
Bilozorov, Anton:3932
Black, Jamie:4003
Blackwell, Amy:3879
Bodnarek, Clay:4043
Bodnarek, Sandy:4044
Bogre, Jani:4034
Bokova, Alexandra:4036
Boresow, Leah:3114
Boyarshynova, Olga:3965
Bradford, Jill:3288
Britt, Will:3892
Brown, LeAnn:3920
Bruttell, Janet:1445
Bugler, Aiden:3841
Bugler, Courtney:3072
Bush, Pierre:1745
Caracciolo, Dianne:2580
Carrithers, Robin:2552
Carty, Chandra:2636
Champion, Rachel:2342
Chauvin, Vicki:4006
Chen, Hsin-Chu:3081
Chen, Jonathan:3550
Choi, Michael:1861
Chorbadzhieva, Angelina:3865
Cirault, Lisele:3998
Cleary, Maureen:3909
Clemens, Austin:3551
Clements, Keith:3923
Cohen, Shuli:3441
Conte, Riccardo:4054
Cooper, Katya:2742
Cordaro, Alex:3945
Courtney, Jennifer:3910
Coyne, Krista:3888
Crenshaw, Josh:4024
Criscione, Veronica:4056
Crossley, Lisa:3786
Crosson, Jen:1750
Dade, Makenna:3464
Dahl, Gary:2939
Daniells, Paul:3874
Datoc, Antoinette:3442
Datoc, Pat:3553
Davidov, Gacriel:3906
Davidson, Elizabeth:3900
Davis, Dasha:3957
Davis, Steven:1177
Dawson, Staz:3429
DeFreest, Newell:3027
DeLa Cruz, Melbin:1977
Desjardins, Annick:3581
DiCarlo, Letizia:1432
Dingle, Bianca:3018
Divertie, Gavin:4018
Divirtie, Vicky:4016
Dobson, Kristen:3840
Drobny, Mario:1431
Earls, Ray:3924
Earls, Susan:3925
Elliott, Samantha:3578
Ellmer, Chelsey:3937
Ellmer, Jan:4023
Evan, Mallory:4010
Evans, Enoch:3902
Filip, Samanta:3933
Filipov, Milla:4059
Filippi, Eleonora:4055
Finn, Carly:3901
Firlus, Tracey:3928
Flowers, Mechelle:4025
Folker, Ian:2128
Frances, Esther:4049
Fuentes, Maria:3891
Fukunaga, Ed:3372
Fulper-Smith, Mersey:3893
Fulvi, Daniele:4057
Gartchev, Ivan:3795
Gintautiene, Victoria:3946
Gonyea, Jacklyn:3430
Gonzalez, Matteo:4058
Gordeeva, Anastasia:3903
Gorianskyi, Oleg:3980
Gorokhov, Lily:3816
Grana, Robie:2787
Greenberg, Evan:2809
Greer, Aaron:2700
Greer, Victoria:3908
Grigorian, Anna:4042
Guthrie, Emily:3518
Guthrie, Trevor:3517
Habibi, Sharon:3958
Hagerty, Maeola:3253
Hajjar, Denise:3911
Hamm, Dorothy:4017
Hasty, Lisa:3377
Head, Shirin:3887
Helpern, Marty:3991
Hinz, Martha:3559
Hooks, Sarah:4005
Hopper, Margaret:3805
Horneff, Lauren:3993
Hrusha, Maksym:3983
Hryn, Alisa:3882
Hsu, Linda:3382
Huang, Jenny:1579
Hudson, Sarika:3385
Hughes, Justyne:3914
Hunt, Robert:3093
Hutto, Sandra:3921
Issaev, Basil:2364
Italyankin, Roman:2434
Jackson, Meredith:3971
Jackson, Robert:3972
Jackson, Ryan:4028
Jenkins, Dylan:4001
Jenkins, Nora:4002
Jensen, Shane:3032
Jensen, Shannon:3033
Johnson, Cassidy:4007
Jones, Rex:2341
Judd, Shelley:3373
Jue, Debi:3959
Kajiwara, Kay:3947
Kantin, Anthony:4015
Kantin, Elise:4021
Kaplan, Beth:2797
Kaplan, Meredith:3939
Kark, Alyssa:2680
Katz, Hanna:3899
Kazakova, Tatiana:1209
Keating, Carolyn:3749
Kelley, Amy:3954
Kelley, Austin:4013
