Comp Name:Nashville Starz Dance Spectacular
Dancers
Adamczyk, Darcy:56
Ahearn, Alison:276
Aleman, Caleb:295
Alvarez, Yngrid:393
Antipin, Angela:314
Antipin, Maksim:313
Archer, Shalene:182
Arthur, Frances:409
Atlakson, Carli:419
Baker, Brian:422
Barr, Marty:423
Bartashevich, Genya:428
Bednarski, Sophia:321
Besarab, Yuliya:278
Bishop, Ann Marie:296
Blakeslee, Jan:373
Botello, Eric:328
Bowker, Zosia:396
Branigan, Christina:250
Brinkmeyer, Maxahna:405
Bruce, Elizabeth:268
Burden, Annette:24
Burns, Denise:258
Burroughs, Donna:369
Caldwell, Vickie:243
Camarata, Michelle:229
Camarata II, Kevin:228
Caplin, Candace:237
Caporale, Simona:432
Castillo, Juan:117
Castillo, Natalya:113
Castillo, Natalya:379
Cawston, Martin:306
Chen, Jonathan:104
Cohen, Gail:411
Coutin, Rafael:168
Coveny, Grayson:312
Criscione, Veronica:20
Crudele, Betsy:205
Cusick, Barbara:381
Dahl, Gary:234
Darouse, Sarah:367
Davis, Brogen:170
Davis, Katherine:171
Davis, Lynne:374
Dawson, Staz:414
De La Cruz, Melbin:121
Decker, Sarah:327
Derry, Patrick:238
Di Lorenzo, Paolo:262
Dimitrov, Oleg:249
Dippong, Jane:74
Drake, Tammy:287
Dutra, Ronny:236
Eberle, Emily:227
Eberle, Mark:269
Elkin, Lilly:418
Elliott, Charles:416
Elser, David:64
Ermis, Ben:91
Evan, Mallory:149
Evans, Esther:356
Farrell, Mary:264
Fernandez, Leon:402
Fieldman, Elaine:383
Fitzgerald, Tonya:244
Ford, April:279
Fowler, Megan:354
Fuentes, Dorothy:401
Fulvi, Daniele:19
Garcia, Nicolas Santana:389
Gensler, Ashley:360
Gensler, Jon:362
Gentling, Sharon:235
Gill, Linda:302
Gillespie, Wennie:346
Gonyea, Jacklyn:415
Gorska, Agnes:358
Granberg, Sara:298
Greenslit, Shelby:417
Grinin, Evgenii:293
Gronek, Jean-Paul:372
Guthrie, Emily:213
Guthrie, Trevor:212
Hafer, Virginia:420
Hankins, Bryant:300
Hannon, Tracy:246
Harris, Allen:277
Harris, Clyde C.:232
Hassenflu, Cherie:339
Hauer, Matthew:330
Heam, Rob:375
Hendrick, Benjamin:255
Hendrick, Samantha:256
Hendrick, Steven:259
Holder, Janice:286
Holland, Sally:421
Holody, Karolina:326
Hooks, Joyce:398
Hotz, Ricci-Lee:352
Howell, Kathy:308
Hryn, Alisa:32
Hudson, Sarika:348
Hynes, Vicki:299
Jenkins, Dylan:392
Jenkins, Nora:390
Johnson, Cassidy:150
Johnston, Jackie:109
Jones, Lori:376
Jones, Marsha:329
Karanovic, Zorana:272
Kark, Alyssa:242
Karlsen, Julie:307
Kelly, Elena:118
Kelly, Elizabeth:245
Kennedy, Nichelle:261
Kenney, Kia:324
Kirkegaard, SuzAnne:309
Kiselev, Sergey:226
Kish, Blake:382
Knighton, Brittany:427
Knighton, Jai:426
Kora, Iurii:31
Korpitz, Sandra:289
Krug, Elizabeth:412
Kushnir, Alona:436
Lacusta, Mihail:10
Lam, Van:363
Larson, Sienna Mae:271
Lenz, LuAnn:275
Les, Viktor Valentin:288
L'Esperance, Paula:251
Lightner, Christian:323
Lopez, Jesse:380
Loving, Ada:351
Ludwig, Irene:357
Lukosiene, Jurgita:359
Lundeen, Sarah:283
Lunson, Susan:311
Lutsenko, Tatyana:192
Malkhasyan, Roman:119
Maloney, Betty:233
Marinac, Nicole:282
Maslennikova, Ekaterina:388
Matta, Juan:274
McClish, Devan:252
McDonald, Danielle:263
McKerlie, Michael:285
McLeod, Leslie:123
McNamee, Brian:218
McPartland, Pam:317
McQueen, Leigh:384
McStoots, Sadie:158
Miller, Sally:154
Minaev, Aleksei:193
Minaeva, Elena:194
Miraglia, Alessio:391
Mitina, Julia:7
Morey, Chloe:254
Morin, Michael:318
Morin, Olga:319
Morozova, Olga:294
Mortimer, Brooke:257
Moseley, Alec:336
Munson, Todd:350
Muzio, Deborah:248
Nalyvaychuk, Brianna:333
Nalyvaychuk, Vladyslav:332
Nashev, Aleksandar:260
Nichols, Maryann:344
Nyemchek, Jr., David:320
Okuyama, Kumiko:247
Parkes, Gary:77
Pellicori, Fabio:377
Peoples, Lorraine:430
Peres, Raquel:231
Pilipenchuk, Nikolai:347
Pohybil, Dmytro:435
Pope, Lynette:424
Pugh, Danny:201
Radon, Tommy:410
Rains, Doug:112
Ranivand, John:267
Reneau, Charles:184
Reneau, Judy:370
Rezai, Natalie:353
Rhode, Jamie:355
Rhodes, Enid:316
Rivera, Viviana:400
Rivers, Matt:397
Roberts, April:83
Robles, Jerry:315
Rodriguez, Nicolas:270
Romano, Pamela:343
Russo, Cheryle:304
Salinas, Daryl:265
Sanchez, Sergio:413
Wharton, Jessica Sartori:337
Scheppler, Anthony:225
Shalnev, Timofey:230
Sharov, Artem:204
Shipilov, Aleksei:6
Shoemaker, Macy:395
Silverstein, Carol:331
Simanekova, Juanita:105
Simmons, Carole:239
Simon, Jaimee:78
Simon, Oliver:433
Sinclair, Robin:173
Smith, Elyse:305
Solodov, Sergei:387
Spadoni, Simone:431
Spano, Mirko:345
Spearmon, Jordan:280
Srygley, Don:185
Srygley, Kim:202
Steinberg, Ronnie:406
Stewart, Matt:75
Strambaugh, Wende:368
Struk, Paulina:273
Stutts, Eddie:199
Szukk, Jani:364
Tayi, Siva:342
Thomas, Alexander:366
Tilford, Josh:303
Traugott, Tom:179
Tregubov, Anton:404
Unnithan, Radhika:335
Valenzuela, Robin:365
van Ginkel, Monise:266
Vaughn, Brenda:425
Vaughn, Candi:407
Vickers, Caleb:439
Wang, Emily:437
Wang, Ming:41
Wayne, Christopher:116
Weich, Sharon:349
Welch, Benjamin:281
Wellemeyer, Evan:291
Whaley, Aliyana:434
White, Missy:429
Whiteside, Suky:403
Wieland, Leigh:371
Wilczynski, Jennifer:292
Wilczynski, Pat:290
Wilder, Maysen:322
Winslow, Ryan:438
Wojciechowski, Oskar:325
Wolfson, Colette:297
Woods, Dennis:408
Yang, Chenhua:42
Zalizniuk, Maksym:310
Zapata, Fonzie:136
Zappia, Enzo:338
Heats
Dancer:Adamczyk, Darcy:56:Heats:64
["Heat", "517", "03@Friday 3:10 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "518", "03@Friday 3:12 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "519", "03@Friday 3:13 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "520", "03@Friday 3:15 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "526", "03@Friday 3:29 PM", "American Smooth Single Dance L-B Closed Pre-Silver Amer. Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "527", "03@Friday 3:30 PM", "American Smooth Single Dance L-B Closed Pre-Silver Amer. Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "528", "03@Friday 3:32 PM", "American Smooth Single Dance L-B Closed Pre-Silver Amer. Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "529", "03@Friday 3:33 PM", "American Smooth Single Dance L-B Closed Pre-Silver Amer. Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "544", "03@Friday 4:03 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "545", "03@Friday 4:04 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "546", "03@Friday 4:06 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "547", "03@Friday 4:07 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "553", "03@Friday 4:14 PM", "American Smooth Single Dance L-B Closed Int. Silver Amer. Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "554", "03@Friday 4:16 PM", "American Smooth Single Dance L-B Closed Int. Silver Amer. Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "555", "03@Friday 4:17 PM", "American Smooth Single Dance L-B Closed Int. Silver Amer. Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "556", "03@Friday 4:19 PM", "American Smooth Single Dance L-B Closed Int. Silver Amer. Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "562", "03@Friday 4:26 PM", "American Smooth Single Dance L-A2 Closed Full Silver Amer. Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "563", "03@Friday 4:27 PM", "American Smooth Single Dance L-A2 Closed Full Silver Amer. Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "564", "03@Friday 4:29 PM", "American Smooth Single Dance L-A2 Closed Full Silver Amer. Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "565", "03@Friday 4:30 PM", "American Smooth Single Dance L-A2 Closed Full Silver Amer. Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "567", "03@Friday 4:32 PM", "American Smooth Single Dance L-B Closed Full Silver Amer. Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "568", "03@Friday 4:33 PM", "American Smooth Single Dance L-B Closed Full Silver Amer. Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "569", "03@Friday 4:35 PM", "American Smooth Single Dance L-B Closed Full Silver Amer. Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "570", "03@Friday 4:36 PM", "American Smooth Single Dance L-B Closed Full Silver Amer. Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "580", "03@Friday 4:57 PM", "ProAm & MixedAm 4-Dance Closed Silver B Amer. Smooth (W,T,F,VW)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "581", "03@Friday 5:09 PM", "ProAm & MixedAm 4-Dance Closed Silver C Amer. Smooth (W,T,F,VW)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "589", "03@Friday 5:46 PM", "ProAm WDSS Open Open C Amer. Smooth (W,T,F,VW)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "588", "03@Friday 5:52 PM", "ProAm WDSS Open Open B Amer. Smooth (W,T,F,VW)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "590", "04@Friday 8:30 PM", "ProAm Closed Silver Scholarship C Amer. Smooth (W,T,F,VW)", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "719", "05@Saturday 2:42 PM", "International Ballroom Single Dance L-B Closed Int. Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "720", "05@Saturday 2:43 PM", "International Ballroom Single Dance L-B Closed Int. Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "721", "05@Saturday 2:45 PM", "International Ballroom Single Dance L-B Closed Int. Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "722", "05@Saturday 2:46 PM", "International Ballroom Single Dance L-B Closed Int. Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "723", "05@Saturday 2:48 PM", "International Ballroom Single Dance L-B Closed Int. Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "728", "05@Saturday 2:55 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "729", "05@Saturday 2:56 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "730", "05@Saturday 2:58 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "731", "05@Saturday 2:59 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "732", "05@Saturday 3:01 PM", "International Ballroom Single Dance L-A2 Closed Pre-Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "741", "05@Saturday 3:14 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "742", "05@Saturday 3:15 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "743", "05@Saturday 3:17 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "744", "05@Saturday 3:18 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "745", "05@Saturday 3:20 PM", "International Ballroom Single Dance L-B Closed Full Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "751", "05@Saturday 3:28 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "753", "05@Saturday 3:30 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "754", "05@Saturday 3:31 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "755", "05@Saturday 3:33 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "756", "05@Saturday 3:34 PM", "International Ballroom Single Dance L-B Closed Pre-Silver Int'l Quickstep", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "763", "05@Saturday 3:43 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "764", "05@Saturday 3:44 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Tango", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "765", "05@Saturday 3:46 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Viennese Waltz", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "766", "05@Saturday 3:47 PM", "International Ballroom Single Dance L-A2 Closed Int. Silver Int'l Foxtrot", "???", "Adamczyk, Darcy and Dahl, Gary", "---"]
