Comp Name:The Snow Ball 2020
Dancers
Abrams, John:342
Afonkin, Igor:248
Aguirre, Gio:266
Alliev, Russell:334
Alliev, Stephanie:335
Anderson, Amy:191
Anderson, Georgietta:53
Anderson, Greta:192
Anderson, Kristen:174
Anderson, Meghan:253
Anderson, Nicole:175
Anderson, Renee:251
Anderson, Scott:256
Anderson, Terry:28
Anderson, Tracy:258
Anderson, Wendy:320
Antman, Less:407
Archer, Shalene:339
Arcilla, Eileen:61
Arthur, Frances:362
Arzdorf-Schubbe, Maggie:225
Auchterlonie, Josephine:63
Baker, Brian:369
Baloga Loufek, Spencer:59
Baris, Mike:80
Barnett, Charlene:187
Barr, Marty:370
Bartlett, Kelly:238
Battalora, Peggy:138
Bavaud, Annabel:49
Baye, Sara:312
Bernal, John:5
Bersten, Gabriella:117
Bersten, Gene:217
Bersten, Isabella:115
Bewish, Nick:325
Blegen, Sarah:71
Boccanfuso, Domenico:269
Bokova, Alexandra:211
Boole, Emily:332
Bors, Kim:386
Bosacker-Kass, Alden:234
Bosacker-Kass, Charlotte:233
Bowen, Martina:354
Boylan, Amy:169
Bramow, Nicole:88
Braniff, Heidi:16
Bratt, Gordon:190
Bratt, Kate:183
Brouillard, Eva:129
Burkhardt, Chris:47
Burns, John:254
Butaud, Kim:365
Butaud, Wade:366
Cadd, Carolyn:350
Camarda, Caitlin:37
Canis, Liz:193
Cannon, Markus:236
Carlos, Ligaya:50
Carlson, Jack:326
Carlson, John:10
Carrillo, Bailey:4
Castro, Audrey:315
Cauley, Sarah:139
Cegelski, Rane:204
Chan, Amy:222
Chen, Jonathan:132
Cole, Jaclyn:25
Colville, Sasha:316
Conway, Ann:344
Cray, Ute:308
Cribbs, Zeke:95
Czarnecki, Mikolay:140
Dahl, Gary:142
Daigle, Kayla:280
Daigle, Stacey:273
Danial, Reem:194
Davitt, Joy:330
DeJoannis, Erica:81
Delano, Valentina:15
Demidov, Dmitry:270
Diemer, Maliwan:203
Dodge, Tami:346
Donelan, Dustin:48
Dorovskikh, Nelly:333
Dressler, Michael:26
Duchan, Sue:78
Eggert, Corry:20
Eichner, Tina:398
Endres, Joan:220
Escuadra, Lucio:399
Fearless, Tracey:34
Fenoglio, Gina:306
Ferrington, Len:64
Fields, Madison:69
Fikes, Denise:97
Fisher, Marianne:241
Flores, Kat:83
Florescu, Diana:347
Folker, Ian:284
Fons, Joanna:242
Foo, Esther:13
Foster, Nicole:93
Freeman, Mica:343
Fundo, Enxhi:299
Galloway, Fabiola:186
Gardner, Kali:189
Gatton, Penne:90
Gatton, Steve:85
Gazda, Vadim:349
Geer, Jacob:87
Geer, Jeanne:92
Gelb, Tatyana:104
Gensch, Brennan:328
Gentling, Sharon:143
Gilbert, Daniel:162
Gilbert, Nan:404
Ginzburg, Nikita:113
Ginzburg, Vladik:128
Glotova, Sofiya:324
Gohkle, Keith:206
Goren, Eileen:72
Gorman, Dan:403
Grana, Robie:285
Greibel, Kathy:185
Grinin, Evgenii:288
Hakamata, Emi:243
Handler, Patty:195
Hanggi, Scott:181
Hartman, Jayme:163
Hartzler, Jeff:38
Harvieux, Corynn:57
Hillson, Geaninne:35
Hinz, Martha:209
Hitner, Danielle:44
Hoey, Josee:304
Hogan, Teresa:309
Holliday, Rose:73
Holody, Karolina:364
Hooks, Joyce:201
Hotz, Ricci-Lee:178
Huang, Echo:224
Hudson, Emerson:235
Hudson, Eric:54
Hudson, Michelle:65
Hui, Susanna:219
Hunter, Lacy:274
Hyskell, Brent:303
Iannone, Dee:157
Ibes, Sabine:300
Inveen, Bonnie:348
Italyankin, Roman:210
Jackson, Candace:171
Jager, Mike:327
Johnson, Linda:397
Jones, Rex:208
Karadzhov, Anton:294
Karam, Abdallah:202
